Year,Quarter,Region,Employed,Employed Male,Employed Female,Saudi Employed,Saudi Employed Male,Saudi Employed Female,Non-Saudi Employed,Non-Saudi Employed Male,Non-Saudi Employed Female
2018,1,Ar Riyad ,4101958,3564271,537687,1209518,783594,425924,2892440,2780677,111763
2018,1,Makkah,2400808,2119387,281421,630330,396743,233587,1770478,1722644,47834
2018,1,Madinah,436036,378665,57371,137092,88245,48847,298944,290420,8524
2018,1,Al Qaseem,472468,419895,52573,114069,71179,42890,358399,348716,9683
2018,1,Eastern,2148173,1966876,181297,578949,433964,144985,1569224,1532912,36312
2018,1,Aseer,436713,366789,69924,150887,92118,58769,285826,274671,11155
2018,1,Tabouk,147419,124005,23414,55529,34153,21376,91890,89852,2038
2018,1,Hail,170613,145807,24806,50848,29131,21717,119765,116676,3089
2018,1,Northern,68832,58554,10278,24908,16010,8898,43924,42544,1380
2018,1,Jazan,192924,157385,35539,76175,43642,32533,116749,113743,3006
2018,1,Najran,176314,156909,19405,47689,31249,16440,128625,125660,2965
2018,1,Al Baha,77891,63335,14556,33315,20344,12971,44576,42991,1585
2018,1,Al Jouf,101155,87259,13896,38070,25686,12384,63085,61573,1512
2018,1,undefined,3106,1986,1120,3030,1918,1112,76,68,8
2017,4,Ar Riyad ,4160804,3627943,532861,1209908,784606,425302,2950896,2843337,107559
2017,4,Makkah,2460823,2179453,281370,631623,398323,233300,1829200,1781130,48070
2017,4,Madinah,448990,391653,57337,137905,89113,48792,311085,302540,8545
2017,4,Al Qaseem,492135,438210,53925,118185,74079,44106,373950,364131,9819
2017,4,Eastern,2191336,2012786,178550,578188,434720,143468,1613148,1578066,35082
2017,4,Aseer,448201,378091,70110,152506,93513,58993,295695,284578,11117
2017,4,Tabouk,152046,128249,23797,56570,34903,21667,95476,93346,2130
2017,4,Hail,177062,151735,25327,52044,29741,22303,125018,121994,3024
2017,4,Northern,71102,60730,10372,25269,16313,8956,45833,44417,1416
2017,4,Jazan,194215,158628,35587,76520,43853,32667,117695,114775,2920
2017,4,Najran,183081,162863,20218,49614,32373,17241,133467,130490,2977
2017,4,Al Baha,80272,65759,14513,33662,20740,12922,46610,45019,1591
2017,4,Al Jouf,105263,91326,13937,38790,26390,12400,66473,64936,1537
2017,4,undefined,3138,2002,1136,3062,1934,1128,76,68,8
2017,3,Ar Riyad ,4203980,3697785,506195,1172010,771516,400494,3031970,2926269,105701
2017,3,Makkah,2497565,2228898,268667,606768,386665,220103,1890797,1842233,48564
2017,3,Madinah,460150,404131,56019,133279,86381,46898,326871,317750,9121
2017,3,Al Qaseem,511309,457690,53619,118038,74382,43656,393271,383308,9963
2017,3,Eastern,2223167,2052644,170523,558457,422935,135522,1664710,1629709,35001
2017,3,Aseer,455019,387067,67952,147573,91256,56317,307446,295811,11635
2017,3,Tabouk,154494,131299,23195,55314,34348,20966,99180,96951,2229
2017,3,Hail,183229,157991,25238,51649,29713,21936,131580,128278,3302
2017,3,Northern,73322,62742,10580,25104,16363,8741,48218,46379,1839
2017,3,Jazan,194699,160060,34639,74272,42967,31305,120427,117093,3334
2017,3,Najran,187939,167745,20194,48006,31381,16625,139933,136364,3569
2017,3,Al Baha,81792,67450,14342,33207,20431,12776,48585,47019,1566
2017,3,Al Jouf,109000,94831,14169,38059,26010,12049,70941,68821,2120
2017,3,undefined,2572,1953,619,2008,1397,611,564,556,8
2017,2,Ar Riyad ,4240728,3739179,501549,1168108,771332,396776,3072620,2967847,104773
2017,2,Makkah,2519662,2252365,267297,604732,385510,219222,1914930,1866855,48075
2017,2,Madinah,466980,410572,56408,133061,85881,47180,333919,324691,9228
2017,2,Al Qaseem,521196,468213,52983,117155,74146,43009,404041,394067,9974
2017,2,Eastern,2248608,2079574,169034,554542,420302,134240,1694066,1659272,34794
2017,2,Aseer,460114,391629,68485,147450,90551,56899,312664,301078,11586
2017,2,Tabouk,156090,132783,23307,55416,34310,21106,100674,98473,2201
2017,2,Hail,186789,161602,25187,51619,29704,21915,135170,131898,3272
2017,2,Northern,74106,63450,10656,25155,16381,8774,48951,47069,1882
2017,2,Jazan,194372,160000,34372,73671,42647,31024,120701,117353,3348
2017,2,Najran,191628,171159,20469,48143,31233,16910,143485,139926,3559
2017,2,Al Baha,83313,68738,14575,33538,20554,12984,49775,48184,1591
2017,2,Al Jouf,110428,96248,14180,37879,25826,12053,72549,70422,2127
2017,2,undefined,2545,1966,579,1980,1409,571,565,557,8
2017,1,Ar Riyad ,4267561,3770068,497493,1154363,761389,392974,3113198,3008679,104519
2017,1,Makkah,2545670,2278827,266843,606918,388253,218665,1938752,1890574,48178
2017,1,Madinah,473309,416828,56481,133228,86002,47226,340081,330826,9255
2017,1,Al Qaseem,525393,472755,52638,117086,74320,42766,408307,398435,9872
2017,1,Eastern,2269548,2102022,167526,552684,419034,133650,1716864,1682988,33876
2017,1,Aseer,465718,397532,68186,147312,90419,56893,318406,307113,11293
2017,1,Tabouk,157798,134499,23299,55703,34586,21117,102095,99913,2182
2017,1,Hail,188486,163487,24999,51438,29641,21797,137048,133846,3202
2017,1,Northern,74631,63992,10639,25214,16447,8767,49417,47545,1872
2017,1,Jazan,194886,160817,34069,73249,42513,30736,121637,118304,3333
2017,1,Najran,191203,170937,20266,47891,31147,16744,143312,139790,3522
2017,1,Al Baha,84484,69886,14598,33628,20630,12998,50856,49256,1600
2017,1,Al Jouf,112226,97933,14293,38150,25978,12172,74076,71955,2121
2017,1,undefined,2646,2063,583,2081,1506,575,565,557,8
2016,4,Ar Riyad ,4295167,3800432,494735,1154980,762973,392007,3140187,3037459,102728
2016,4,Makkah,2571140,2301673,269467,616357,394801,221556,1954783,1906872,47911
2016,4,Madinah,478258,421719,56539,135068,87678,47390,343190,334041,9149
2016,4,Al Qaseem,526371,473732,52639,119263,76359,42904,407108,397373,9735
2016,4,Eastern,2290837,2123430,167407,556749,422231,134518,1734088,1701199,32889
2016,4,Aseer,468727,402037,66690,148531,92233,56298,320196,309804,10392
2016,4,Tabouk,159444,135970,23474,56366,35072,21294,103078,100898,2180
2016,4,Hail,189092,164097,24995,51884,30057,21827,137208,134040,3168
2016,4,Northern,75088,64311,10777,25714,16792,8922,49374,47519,1855
2016,4,Jazan,194764,161109,33655,73675,43348,30327,121089,117761,3328
2016,4,Najran,191279,171297,19982,48156,31668,16488,143123,139629,3494
2016,4,Al Baha,85508,70775,14733,34206,21087,13119,51302,49688,1614
2016,4,Al Jouf,113078,98877,14201,38369,26278,12091,74709,72599,2110
2016,4,undefined,1536,1132,404,1022,619,403,514,513,1
2016,3,Ar Riyad ,3542915,3026668,516247,1339068,986259,352809,2203847,,
