Year,Quarter,R - Plot,R - Building,R - Villa,R - Apartment,R - House,C - Plot,C - Building,C - Gallery / Shop,C - Center,A - Land
2018,2,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2018,1,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2017,4,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2017,3,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2017,2,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2017,1,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2016,4,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2016,3,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2016,2,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2016,1,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2015,4,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2015,3,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2015,2,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
2015,1,62.2,0.03,0.4,2.6,0.2,30.9,0.003,0.1,0.1,3.6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
