Year,Quarter,Region,All,Residential,Commercial,Agricultural
2018,2,Kingdom,83.60333333,86.7,76.40333333,93.5
2018,2,Ar Riyad,79.44333333,89.1,67.38333333,129.2
2018,2,Makkah,83.95666667,85.3,79.82666667,96
2018,2,Madinah,94.06,93.1,98.33,92.8
2018,2,Eastern,85.80666667,84.9,87.10333333,93.3
2018,2,Al Qaseem,80.49,79.3,84.9,79.9
2018,2,Aseer,86.72666667,85.3,93.55666667,91.8
2018,2,Tabouk,83.07666667,79.9,87.30333333,100.3
2018,2,Hail,85.54,85.8,79.72666667,97.7
2018,2,Jazan,81.44333333,81.2,81.57,83.4
2018,2,Al Baha,78.99,75.6,97.24,107.3
2018,2,Al Jouf,85.80666667,81.7,82.22666667,110.5
2018,2,Najran,86.85333333,83.4,85.21,99.6
2018,2,Northern,84.05333333,82.7,93.79333333,
2018,1,Kingdom,84.2,87.4,76.7,93.6
2018,1,Ar Riyad,80.5,90.6,68,129.2
2018,1,Makkah,84.1,85.6,79.7,96
2018,1,Madinah,94.3,93.6,98.4,92.8
2018,1,Eastern,86.4,85.6,87.5,93.5
2018,1,Al Qaseem,82,81,85.5,82
2018,1,Aseer,86.6,85.2,92.9,91.8
2018,1,Tabouk,83.6,80.9,86.7,100.4
2018,1,Hail,85.5,85.6,80.4,97.6
2018,1,Jazan,81.2,80.6,82.2,83.4
2018,1,Al Baha,79.2,75.8,97.2,107.3
2018,1,Al Jouf,86.3,82.2,83.1,110.5
2018,1,Najran,87.7,84.2,87.4,99.6
2018,1,Northern,84.9,83.7,93.9,
2017,4,Kingdom,84.64666667,88,77.05333333,93.7
2017,4,Ar Riyad,81.79333333,92.4,68.61333333,129.2
2017,4,Makkah,84.04333333,85.5,79.58333333,95.9
2017,4,Madinah,94.47,93.8,98.43666667,92.8
2017,4,Eastern,81.54666667,80.2,85.91333333,83
2017,4,Al Qaseem,87.06666667,86.4,87.95,94.4
2017,4,Aseer,86.45,85.1,92.74,91.8
2017,4,Tabouk,84.20666667,81.4,87.87333333,100.4
2017,4,Hail,85.35,85.1,81.74333333,97.6
2017,4,Jazan,85.31333333,84.1,94.41,
2017,4,Al Baha,81.1,80.6,81.81666667,83.4
2017,4,Al Jouf,88.42666667,85,88.66,99.4
